Temperature,Humidity,PM2_5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
27.1,39.1,6.1,6.3,25.3935,13.886,1317.8999999999999,11.1,551,Good
26.5,70.7,6.9,16.0,41.1939,14.671999999999999,1157.46,12.7,303,Good
26.3,65.7,1.3,5.5,34.4223,15.458000000000002,974.1,13.0,529,Good
20.0,53.3,3.7,12.9,49.094100000000005,17.291999999999998,1249.14,10.2,538,Good
28.6,53.7,28.9,34.0,43.639199999999995,11.790000000000001,1168.92,11.0,508,Good
22.3,80.5,4.5,12.0,32.3532,16.506,1352.28,10.4,232,Good
22.9,75.4,4.5,10.4,34.6104,9.694,1100.1599999999999,14.4,359,Good
27.6,77.5,3.8,10.9,17.1171,4.454,1191.8400000000001,14.4,520,Good
25.6,58.3,0.4,-0.2,47.5893,11.790000000000001,1123.08,10.0,536,Good
24.6,48.4,8.3,15.4,43.8273,12.052,1180.38,11.2,461,Good
26.2,49.9,0.5,2.0,43.0749,6.026,1077.24,17.9,581,Good
22.6,62.1,16.4,21.3,33.1056,12.576,1065.78,11.5,324,Good
30.0,69.2,2.0,3.9,28.779300000000003,13.624,1249.14,10.1,297,Good
29.6,65.6,3.4,9.3,38.7486,7.598,1180.38,10.2,452,Good
23.3,45.2,24.0,29.0,50.034600000000005,13.886,1100.1599999999999,10.9,575,Good
21.8,79.6,7.1,16.8,27.2745,15.72,1042.8600000000001,10.8,455,Good
27.5,78.9,30.2,34.1,28.779300000000003,7.86,1123.08,11.1,472,Good
28.0,72.2,18.5,25.0,46.8369,15.982,1512.72,13.2,480,Good
22.2,50.0,2.3,8.4,44.2035,9.694,1100.1599999999999,10.2,547,Good
17.4,56.5,2.6,6.9,39.501,9.17,1054.32,11.6,475,Good
18.1,70.1,3.1,8.1,37.0557,15.196,1352.28,12.9,273,Good
25.6,78.1,1.1,5.2,40.0653,15.982,1019.94,10.9,524,Good
22.4,69.3,2.2,8.4,36.8676,7.86,1054.32,10.2,339,Good
27.5,45.3,2.8,10.1,25.7697,10.741999999999999,939.7199999999999,10.6,236,Good
20.8,48.5,16.0,19.7,21.0672,6.550000000000001,1340.82,10.2,432,Good
21.5,60.0,14.6,20.6,39.3129,4.192,1077.24,10.7,587,Good
29.6,63.1,12.8,15.9,41.382,9.956,1329.36,11.0,377,Good
17.5,73.8,3.3,8.8,30.472199999999997,22.008000000000003,951.18,10.8,217,Good
28.1,51.8,36.0,40.3,49.6584,14.148000000000001,1317.8999999999999,10.8,264,Good
25.0,63.9,9.3,10.8,29.719800000000003,12.052,1054.32,10.1,490,Good
26.7,63.2,6.8,9.3,25.2054,12.838000000000001,1123.08,10.0,358,Good
